z_m,r_m,uz_m_s,ur_m_s,speed_m_s,p_gauge_pa,vorticity_s_1,lower_envelope,lower_gas,upper_envelope,upper_gas
-0.021457030067792267,0.001,0.011577025351963918,-0.0067580482045014236,0.01340517555030072,-0.37041532439511116,-0.041431440669960115,0,0,0,0
-0.021457030067792267,0.0010200000000000001,0.011408161754422065,-0.0068147774153457545,0.013288617152878057,-0.37997786909758702,-0.041708351651474768,0,0,0,0
-0.021457030067792267,0.0010399999999999999,0.011240419546244907,-0.0068516485552774908,0.013164046471379561,-0.38993495504874431,-0.044093240426388472,0,0,0,0
-0.021457030067792267,0.00106,0.011072677338067747,-0.0068885196952092279,0.013040547803840315,-0.39989204099987319,-0.046478129201302204,0,0,0,0
-0.021457030067792267,0.00108,0.010904935129890589,-0.0069253908351409659,0.012918151895939929,-0.40984912695097364,-0.048863017976215936,0,0,0,0
-0.021457030067792267,0.0011000000000000001,0.010737192921713427,-0.006962261975072704,0.012796890389764077,-0.41980621290207409,-0.051247906751129682,0,0,0,0
-0.021457030067792267,0.0011200000000000001,0.010569450713536269,-0.0069991331150044411,0.012676795839147372,-0.42976329885320297,-0.053632795526043414,0,0,0,0
-0.021457030067792267,0.0011400000000000002,0.01040170850535911,-0.0070360042549361783,0.012557901723852597,-0.43972038480433184,-0.056017684300957153,0,0,0,0
-0.021457030067792267,0.00116,0.010233966297181952,-0.0070728753948679163,0.012440242462395338,-0.44967747075546072,-0.058402573075870864,0,0,0,0
-0.021457030067792267,0.0011799999999999998,0.010068047907100716,-0.0071008282269530111,0.012320200898052261,-0.45917313764445566,-0.05220635474700247,0,0,0,0
-0.021457030067792267,0.0011999999999999999,0.0099047950973135176,-0.0071157466091084018,0.012195852398451024,-0.46799442282718928,-0.033468518343375289,0,0,0,0
-0.021457030067792267,0.0012199999999999999,0.0097415422875263211,-0.0071306649912637916,0.012072449186362253,-0.47681570800995132,-0.014730681939748101,0,0,0,0
-0.021457030067792267,0.00124,0.0095782894777391245,-0.0071455833734191832,0.011950020546670733,-0.48563699319265652,0.0040071544638790799,0,0,0,0
-0.021457030067792267,0.0012600000000000001,0.009415036667951928,-0.0071605017555745731,0.01182859674054644,-0.49445827837541856,0.022744990867506133,0,0,0,0
-0.021457030067792267,0.0012800000000000001,0.0092517838581647298,-0.0071754201377299629,0.011708209030895294,-0.5032795635581806,0.04148282727113331,0,0,0,0
-0.021457030067792267,0.0012999999999999999,0.0090885310483775333,-0.0071903385198853528,0.011588889707295928,-0.51210084874091422,0.060220663674760297,0,0,0,0
-0.021457030067792267,0.00132,0.008925278238590335,-0.0072052569020407435,0.011470672110240969,-0.52092213392367626,0.078958500078387464,0,0,0,0
-0.021457030067792267,0.00134,0.0087671188402019679,-0.0072075446713121454,0.011349496594439085,-0.52950098063448081,0.0843233851914688,0,0,0,0
-0.021457030067792267,0.0013600000000000001,0.0086124444075075367,-0.0072011904422945002,0.011226368177580917,-0.5379139483908375,0.080538356263650163,0,0,0,0
-0.021457030067792267,0.0013800000000000002,0.0084577699748131039,-0.0071948362132768558,0.011104032649570611,-0.54632691614722262,0.076753327335831512,0,0,0,0
-0.021457030067792267,0.0014,0.0083030955421186745,-0.0071884819842592106,0.010982516506683259,-0.55473988390355089,0.072968298408012888,0,0,0,0
-0.021457030067792267,0.00142,0.0081484211094242417,-0.0071821277552415654,0.010861847249391874,-0.563152851659936,0.069183269480194237,0,0,0,0
-0.021457030067792267,0.0014400000000000001,0.0079937466767298088,-0.0071757735262239202,0.01074205341782403,-0.57156581941632112,0.065398240552375586,0,0,0,0
-0.021457030067792267,0.0014599999999999999,0.0078390722440353795,-0.0071694192972062767,0.01062316462765967,-0.57997878717264939,0.061613211624556977,0,0,0,0
-0.021457030067792267,0.00148,0.0076843978113409475,-0.0071630650681886315,0.010505211606343098,-0.58839175492900608,0.057828182696738333,0,0,0,0
-0.021457030067792267,0.0015,0.0075452469595638592,-0.0071516317463284256,0.010395989049431528,-0.5958976161158489,0.041118684391434866,0,0,0,0
-0.021457030067792267,0.0015200000000000001,0.007410442710443629,-0.0071387762784723028,0.010289644693518138,-0.60314948746315622,0.020790334660435617,0,0,0,0
-0.021457030067792267,0.0015400000000000001,0.007275638461323398,-0.0071259208106161792,0.01018399049582535,-0.61040135881052038,0.00046198492943636676,0,0,0,0
-0.021457030067792267,0.0015600000000000002,0.0071408342122031669,-0.0071130653427600565,0.010079048160245364,-0.61765323015788454,-0.01986636480156288,0,0,0,0
-0.021457030067792267,0.00158,0.0070300336454496761,-0.0070865966075900622,0.0099820451078354404,-0.62305636337612214,-0.084152796954091974,0,0,0,0
-0.021457030067792267,0.0015999999999999999,0.0068878746901991786,-0.0070672236508766816,0.0098685595645665106,-0.63063502888624612,-0.088077645379975575,0,0,0,0
-0.021457030067792267,0.0016199999999999999,0.0067457157349486811,-0.007047850694163302,0.0097558638871169355,-0.63821369439634168,-0.092002493805859217,0,0,0,0
-0.021457030067792267,0.00164,0.0066035567796981828,-0.0070284777374499214,0.009643985765674221,-0.64579235990646566,-0.09592734223174286,0,0,0,0
-0.021457030067792267,0.00166,0.0064613978244476844,-0.0070091047807365418,0.0095329539846325233,-0.6533710254165328,-0.099852190657626488,0,0,0,0
-0.021457030067792267,0.0016800000000000001,0.006319238869197186,-0.0069897318240231612,0.0094227984621201924,-0.66094969092665679,-0.10377703908351014,0,0,0,0
