t,i,bin,active,activation_count,update_count,reacquisition_count,unresolved_count,raw_crossing_count,source_time,handoff_inventory,inventory,cumulative_edge_outflow,cumulative_work,thickness,midpoint,radius,width,delta,face_flux_inner,face_flux_outer
0.02039999999999934,81621,0,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.607782499577597e-05,-0.01553243134707714,7.8125e-06,1.5625e-05,1.953125e-05,0.0,-6.734021306314656e-14
0.02039999999999934,81621,1,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.597037850264594e-05,-0.015532389567888015,2.34375e-05,1.5625e-05,1.953125e-05,-6.734021306314656e-14,-3.1441864140895776e-13
0.02039999999999934,81621,2,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.570493945921271e-05,-0.015532389588138615,3.90625e-05,1.5625e-05,1.953125e-05,-3.1441864140895776e-13,-8.606914232222811e-13
0.02039999999999934,81621,3,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.536847379130521e-05,-0.015532416159173256,5.46875e-05,1.5625e-05,1.953125e-05,-8.606914232222811e-13,-1.9099705366155094e-12
0.02039999999999934,81621,4,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.498939858388624e-05,-0.015532458229714446,7.031250000000001e-05,1.5625e-05,1.953125e-05,-1.9099705366155094e-12,-3.750096063154887e-12
0.02039999999999934,81621,5,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.449964931727385e-05,-0.015532553445623857,8.593749999999998e-05,1.5625e-05,1.953125e-05,-3.750096063154887e-12,-6.724564346852601e-12
0.02039999999999934,81621,6,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.398670707204673e-05,-0.0155326767516015,0.0001015625,1.5625e-05,1.953125e-05,-6.724564346852601e-12,-1.1107593484504842e-11
0.02039999999999934,81621,7,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.338194158756834e-05,-0.015532903708725532,0.0001171875,1.5625e-05,1.953125e-05,-1.1107593484504842e-11,-1.6880634337844336e-11
0.02039999999999934,81621,8,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.280789971535652e-05,-0.01553318989251524,0.0001328125,1.5625e-05,1.953125e-05,-1.6880634337844336e-11,-2.3934586799618343e-11
0.02039999999999934,81621,9,1,1,51256,0,13,13,0.007585749999999861,9.438161329969584e-11,5.2998005694123405e-11,4.138360760557283e-11,-4.805073311648138e-12,6.22988781322655e-05,-0.015533512297752641,0.0001484375,1.5625e-05,1.953125e-05,-2.3934586799618343e-11,-3.2112906553996994e-11
